Afghanistan, 10
Albania, 15
Algeria, 14
Angola, 10
Antigua and Barbuda, 13
Argentina, 18
Armenia, 13
Aruba, 14
Australia, 23
Austria, 16
Azerbaijan, 13
Bahrain, 15
Bangladesh, 11
Barbados, 15
Belarus, 15
Belgium, 20
Belize, 13
Benin, 13
Bermuda, 12
Bhutan, 12
Bosnia and Herzegovina, 14
Botswana, 13
Brazil, 15
British Virgin Islands, 14
Brunei, 14
Bulgaria, 15
Burkina Faso, 9 
Burma, 10
Burundi, 11
Cabo Verde, 12
Cambodia, 11
Cameroon, 13
Canada, 16
Central African Republic, 7 
Chad, 8 
Chile, 16
China, 14
Colombia, 15
Comoros, 11
"Congo, Democratic Republic of the", 10
"Congo, Republic of the", 11
Cook Islands, 15
Costa Rica, 15
Cote d'Ivoire, 10
Croatia, 15
Cuba, 14
Curacao, 18
Cyprus, 15
Czechia, 17
Denmark, 19
Djibouti, 6 
Dominican Republic, 14
Ecuador, 16
Egypt, 13
El Salvador, 12
Eritrea, 5 
Estonia, 16
Eswatini, 11
Ethiopia, 8 
Finland, 19
France, 15
"Gambia, The", 9 
Gaza Strip, 13
Georgia, 15
Germany, 17
Ghana, 12
Greece, 18
Grenada, 17
Guatemala, 11
Guinea, 9 
Guyana, 11
Honduras, 10
Hong Kong, 16
Hungary, 15
Iceland, 19
India, 12
Indonesia, 13
Iran, 15
Ireland, 19
Israel, 16
Italy, 16
Japan, 15
Jordan, 13
Kazakhstan, 15
Kenya, 11
Kiribati, 12
"Korea, North", 11
"Korea, South", 17
Kuwait, 14
Kyrgyzstan, 13
Laos, 11
Latvia, 16
Lebanon, 11
Lesotho, 11
Liechtenstein, 15
Lithuania, 16
Luxembourg, 14
Macau, 16
Madagascar, 10
Malawi, 11
Malaysia, 13
Mali, 7 
Malta, 16
Mauritania, 8 
Mauritius, 15
Mexico, 14
Moldova, 12
Mongolia, 15
Montenegro, 15
Morocco, 13
Mozambique, 10
Nauru, 9 
Nepal, 12
Netherlands, 18
New Zealand, 19
Niger, 6 
Nigeria, 9 
North Macedonia, 13
Norway, 18
Oman, 15
Pakistan, 8 
Palau, 17
Panama, 13
Paraguay, 12
Peru, 15
Philippines, 13
Poland, 16
Portugal, 16
Puerto Rico, 16
Qatar, 12
Romania, 14
Russia, 16
Rwanda, 11
Saint Kitts and Nevis, 14
San Marino, 15
Sao Tome and Principe, 12
Saudi Arabia, 17
Senegal, 9 
Serbia, 15
Seychelles, 16
Singapore, 16
Slovakia, 15
Slovenia, 17
South Africa, 14
Spain, 18
Sri Lanka, 14
Sudan, 8 
Sweden, 19
Switzerland, 16
Syria, 9 
Tajikistan, 11
Tanzania, 8 
Thailand, 15
Timor-Leste, 13
Togo, 13
Tunisia, 15
Turkey, 18
Turkmenistan, 11
Uganda, 10
Ukraine, 15
United Arab Emirates, 14
United Kingdom, 19
United States, 16
Uruguay, 16
Uzbekistan, 12
Venezuela, 14
West Bank, 13
World, 12
Yemen, 9 
Zimbabwe, 10
