Afghanistan,52.8
Albania,79
Algeria,77.5
American Samoa,74.8
Andorra,83
Angola,61.3
Anguilla,81.8
Antigua and Barbuda,77.3
Argentina,77.8
Armenia,75.6
Aruba,77.5
Australia,82.7
Austria,81.9
Azerbaijan,73.6
"Bahamas, The",73.3
Bahrain,79.4
Bangladesh,74.2
Barbados,76
Belarus,73.8
Belgium,81.4
Belize,75.3
Benin,61.4
Bermuda,81.7
Bhutan,72.1
Bolivia,70.4
Bosnia and Herzegovina,77.5
Botswana,64.8
Brazil,74.7
British Virgin Islands,79.2
Brunei,77.9
Bulgaria,75
Burkina Faso,62.7
Burma,69.3
Burundi,66.7
Cabo Verde,73.2
Cambodia,65.9
Cameroon,62.3
Canada,83.4
Cayman Islands,81.6
Central African Republic,54.2
Chad,58.3
Chile,79.4
China,76.1
Christmas Island,N/A
Cocos (Keeling) Islands,N/A
Colombia,76.6
Comoros,65.7
"Congo, Democratic Republic of the",61
"Congo, Republic of the",61.3
Cook Islands,76.6
Costa Rica,79.2
Cote d'Ivoire,61.3
Croatia,76.7
Cuba,79.2
Curacao,79
Cyprus,79.3
Czechia,79.3
Denmark,81.2
Djibouti,64.7
Dominica,77.7
Dominican Republic,72
Ecuador,77.5
Egypt,73.7
El Salvador,74.8
Equatorial Guinea,65.7
Eritrea,66.2
Estonia,77.4
Eswatini,58.6
Ethiopia,67.5
European Union,80.9
Falkland Islands (Islas Malvinas),N/A
Faroe Islands,80.8
Fiji,73.7
Finland,81.3
France,82.2
French Polynesia,77.9
Gabon,69
"Gambia, The",65.8
Gaza Strip,74.9
Georgia,77
Germany,81.1
Ghana,68.2
Gibraltar,80
Greece,81.1
Greenland,73.4
Grenada,75.2
Guam,77
Guatemala,72.4
Guernsey,82.8
Guinea,63.2
Guinea-Bissau,62.8
Guyana,69.5
Haiti,65.3
Honduras,74.6
Hong Kong,83.2
Hungary,76.7
Iceland,83.3
India,69.7
Indonesia,73.7
Iran,74.5
Iraq,72.6
Ireland,81.2
Isle of Man,81.6
Israel,83
Italy,82.5
Jamaica,75.2
Japan,86
Jersey,82.2
Jordan,75.5
Kazakhstan,72
Kenya,69
Kiribati,67.5
"Korea, North",71.6
"Korea, South",82.6
Kosovo,72.7
Kuwait,78.6
Kyrgyzstan,71.8
Laos,65.7
Latvia,75.4
Lebanon,78.3
Lesotho,53
Liberia,64.7
Libya,76.7
Liechtenstein,82.2
Lithuania,75.5
Luxembourg,82.6
Macau,84.6
Madagascar,67.3
Malawi,63.2
Malaysia,75.9
Maldives,76.4
Mali,61.6
Malta,82.8
Marshall Islands,74.1
Mauritania,64.5
Mauritius,76.5
Mexico,76.7
"Micronesia, Federated States of",73.9
Moldova,71.9
Monaco,89.3
Mongolia,70.8
Montenegro,77.3
Montserrat,75.3
Morocco,73.3
Mozambique,55.9
Namibia,65.3
Nauru,68.4
Nepal,71.8
Netherlands,81.7
New Caledonia,78.4
New Zealand,82.1
Nicaragua,74.2
Niger,59.3
Nigeria,60.4
Niue,N/A
Norfolk Island,N/A
North Macedonia,76.3
Northern Mariana Islands,76.1
Norway,82.1
Oman,76.3
Pakistan,69.2
Palau,74.1
Panama,79.2
Papua New Guinea,67.8
Paraguay,77.9
Peru,74.7
Philippines,70
Pitcairn Islands,N/A
Poland,78.3
Portugal,81.1
Puerto Rico,81.3
Qatar,79.4
Romania,76
Russia,71.9
Rwanda,65.1
Saint Barthelemy,80.2
"Saint Helena, Ascension, and Tristan da Cunha",80
Saint Kitts and Nevis,76.6
Saint Lucia,78.5
Saint Martin,80.2
Saint Pierre and Miquelon,81
Saint Vincent and the Grenadines,76.2
Samoa,74.7
San Marino,83.5
Sao Tome and Principe,66.3
Saudi Arabia,76.2
Senegal,63.2
Serbia,76.3
Seychelles,75.6
Sierra Leone,59.8
Singapore,86
Sint Maarten,78.8
Slovakia,77.8
Slovenia,81.4
Solomon Islands,76.2
Somalia,54
South Africa,64.8
South Sudan,55.5
Spain,82
Sri Lanka,77.5
Sudan,66.5
Suriname,73.3
Svalbard,N/A
Sweden,82.4
Switzerland,82.8
Syria,73.7
Taiwan,80.6
Tajikistan,69
Tanzania,63.9
Thailand,75.6
Timor-Leste,69.3
Togo,66.6
Tokelau,N/A
Tonga,77
Trinidad and Tobago,73.9
Tunisia,76.3
Turkey,75.7
Turkmenistan,71.3
Turks and Caicos Islands,80.3
Tuvalu,67.9
Uganda,68.2
Ukraine,72.9
United Arab Emirates,79
United Kingdom,81.1
United States,80.3
Uruguay,77.9
Uzbekistan,74.8
Vanuatu,74.6
Venezuela,71
Vietnam,74.4
Virgin Islands,79.8
Wallis and Futuna,80.2
West Bank,75.9
Western Sahara,64.5
World,70.5
Yemen,66.9
Zambia,53.6
Zimbabwe,62.3
